subject_id	source_language	translation_language	predicate_id	source_value	translation_status	translation_value
HP:0046508	en	fr	rdfs:label	Abnormal cervical spine morphology	AUTOMATIC	Abnormal cervical spine morphology
HP:0100411	en	fr	rdfs:label	Complete duplication of the middle phalanx of the 4th toe	AUTOMATIC	Complete duplication of the middle phalanx of the 4th toe
HP:0410309	en	fr	rdfs:label	Alpha-aminoadipic aciduria	AUTOMATIC	Alpha-aminoadipic aciduria
HP:0410310	en	fr	rdfs:label	Abnormality of neutrophil morphology in CSF	AUTOMATIC	Abnormality of neutrophil morphology in CSF
HP:0410311	en	fr	rdfs:label	Hyposegmentation of neutrophil nuclei in CSF	AUTOMATIC	Hyposegmentation of neutrophil nuclei in CSF
HP:0410312	en	fr	rdfs:label	Hypersegmentation of neutrophil nuclei in CSF	AUTOMATIC	Hypersegmentation of neutrophil nuclei in CSF
HP:0410313	en	fr	rdfs:label	Abnormal urinary 1-methylhistidine concentration	AUTOMATIC	Abnormal urinary 1-methylhistidine concentration
HP:0410314	en	fr	rdfs:label	Decreased urinary 1-methylhistidine	AUTOMATIC	Decreased urinary 1-methylhistidine
HP:0410315	en	fr	rdfs:label	Increased urinary 1-methylhistidine	AUTOMATIC	Increased urinary 1-methylhistidine
HP:0410316	en	fr	rdfs:label	Abnormal urinary 3-methylhistidine level	AUTOMATIC	Abnormal urinary 3-methylhistidine level
HP:0410317	en	fr	rdfs:label	Increased urinary 3-methylhistidine	AUTOMATIC	Increased urinary 3-methylhistidine
HP:0410318	en	fr	rdfs:label	Decreased urinary 3-methylhistidine	AUTOMATIC	Decreased urinary 3-methylhistidine
HP:0410319	en	fr	rdfs:label	Alpha-gal allergy	AUTOMATIC	Alpha-gal allergy
HP:0410320	en	fr	rdfs:label	Animal protein allergy	AUTOMATIC	Animal protein allergy
HP:0410321	en	fr	rdfs:label	Animal dander allergy	AUTOMATIC	Animal dander allergy
HP:0410322	en	fr	rdfs:label	Bacteria allergy	AUTOMATIC	Bacteria allergy
HP:0410323	en	fr	rdfs:label	Drug allergy	AUTOMATIC	Drug allergy
HP:0410324	en	fr	rdfs:label	Dust mite allergy	AUTOMATIC	Dust mite allergy
HP:0410326	en	fr	rdfs:label	Feather allergy	AUTOMATIC	Feather allergy
HP:0410327	en	fr	rdfs:label	Dairy allergy	AUTOMATIC	Dairy allergy
HP:0410328	en	fr	rdfs:label	Egg allergy	AUTOMATIC	Egg allergy
HP:0410329	en	fr	rdfs:label	Gluten allergy	AUTOMATIC	Gluten allergy
HP:0410330	en	fr	rdfs:label	Meat allergen allergy	AUTOMATIC	Meat allergen allergy
HP:0410331	en	fr	rdfs:label	Nut food product allergy	AUTOMATIC	Nut food product allergy
HP:0410332	en	fr	rdfs:label	Plant based food allergy	AUTOMATIC	Plant based food allergy
HP:0410333	en	fr	rdfs:label	Seafood allergy	AUTOMATIC	Seafood allergy
HP:0410334	en	fr	rdfs:label	Fungi allergy	AUTOMATIC	Fungi allergy
HP:0410335	en	fr	rdfs:label	Insect allergy	AUTOMATIC	Insect allergy
HP:0410336	en	fr	rdfs:label	Venom allergy	AUTOMATIC	Venom allergy
HP:0410337	en	fr	rdfs:label	Parasite allergy	AUTOMATIC	Parasite allergy
HP:0410338	en	fr	rdfs:label	Plant product allergy	AUTOMATIC	Plant product allergy
HP:0410339	en	fr	rdfs:label	Insect bite allergy	AUTOMATIC	Insect bite allergy
HP:0410340	en	fr	rdfs:label	Focal epithelial hyperplasia of oral mucosa	AUTOMATIC	Focal epithelial hyperplasia of oral mucosa
HP:0410341	en	fr	rdfs:label	Abnormal circulating heparan sulfate level	AUTOMATIC	Abnormal circulating heparan sulfate level
HP:0410342	en	fr	rdfs:label	Increased circulating heparan sulfate level	AUTOMATIC	Increased circulating heparan sulfate level
HP:0410343	en	fr	rdfs:label	Decreased circulating heparan sulfate level	AUTOMATIC	Decreased circulating heparan sulfate level
HP:0410344	en	fr	rdfs:label	Shortened O-fucosylated glycan on properdin	AUTOMATIC	Shortened O-fucosylated glycan on properdin
HP:0410345	en	fr	rdfs:label	Increased urinary polyhexose	AUTOMATIC	Increased urinary polyhexose
HP:0410346	en	fr	rdfs:label	Increased urinary galactosylated oligosaccharide	AUTOMATIC	Increased urinary galactosylated oligosaccharide
HP:0410347	en	fr	rdfs:label	Increased urinary high-mannose-type oligosaccharide	AUTOMATIC	Increased urinary high-mannose-type oligosaccharide
HP:0410348	en	fr	rdfs:label	Increased urinary multiantennary sialylated oligosaccharide	AUTOMATIC	Increased urinary multiantennary sialylated oligosaccharide
HP:0410349	en	fr	rdfs:label	Decreased glycosyltransferase O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase level	AUTOMATIC	Decreased glycosyltransferase O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase level
HP:0410350	en	fr	rdfs:label	Increased urinary fucosylated oligosaccharide	AUTOMATIC	Increased urinary fucosylated oligosaccharide
HP:0410351	en	fr	rdfs:label	Abnormal complex N-glycan level	AUTOMATIC	Abnormal complex N-glycan level
HP:0410352	en	fr	rdfs:label	Increased complex N-glycan level	AUTOMATIC	Increased complex N-glycan level
HP:0410353	en	fr	rdfs:label	Decreased complex N-glycan level	AUTOMATIC	Decreased complex N-glycan level
HP:0410354	en	fr	rdfs:label	Increased sialylated N-glycan level	AUTOMATIC	Increased sialylated N-glycan level
HP:0410355	en	fr	rdfs:label	Decreased sialylated N-glycan level	AUTOMATIC	Decreased sialylated N-glycan level
HP:0410356	en	fr	rdfs:label	Abnormal high-mannose N-glycan level	AUTOMATIC	Abnormal high-mannose N-glycan level
HP:0410357	en	fr	rdfs:label	Increased high-mannose N-glycan level	AUTOMATIC	Increased high-mannose N-glycan level
HP:0410358	en	fr	rdfs:label	Decreased high-mannose N-glycan level	AUTOMATIC	Decreased high-mannose N-glycan level
HP:0410359	en	fr	rdfs:label	Abnormal core 1 O-glycan level	AUTOMATIC	Abnormal core 1 O-glycan level
HP:0410360	en	fr	rdfs:label	Increased core 1 O-glycan level	AUTOMATIC	Increased core 1 O-glycan level
HP:0410361	en	fr	rdfs:label	Decreased core 1 O-glycan level	AUTOMATIC	Decreased core 1 O-glycan level
